CHEM_PARAMETER_NAME,CHEM_PARAMETER_FRACTION,Analytes,Analytical Lab,Standard Method,Precision,Accuracy,Cal-initial,cal-ongoing,cal-blanks,Method Detection Limit,Reporting Limit
CHLORIDE,TOTAL,Chloride,ALS,EPA 300.0,^,± 25%,As needed,Every 10,Every 10,0.02 mg/L,0.2 mg/L
FLUORIDE,TOTAL,Fluoride,ALS,EPA 300.0,^,± 25%,As needed,Every 10,Every 10,0.004 mg/L,0.1 mg/L
SULFATE,TOTAL,Sulfate,ALS,EPA 300.0,^,± 25%,As needed,Every 10,Every 10,0.02 mg/L,0.2 mg/L
IRON,TOTAL,Iron (total),ALS,EPA 200.7,^,± 25%,Daily,Every 10,Every 10,20 µ/L,100 µ/L
MANGANESE,TOTAL,Manganese (total),ALS,EPA 200.7,^,± 25%,Daily,Every 10,Every 10,0.5 µ/L,10 µ/L
ARSENIC,TOTAL,Arsenic (total),ALS,EPA 200.8,^,± 25%,Daily,Every 10,Every 10,0.3 µ/L,1 µ/L
SILVER,TOTAL,Silver (total),ALS,EPA 200.8,^,± 25%,Daily,Every 10,Every 10,0.07 µ/L,1 µ/L
ALUMINUM,TOTAL,Aluminum (total),ALS,EPA 200.8,^,± 25%,Daily,Every 10,Every 10,7.6 µ/L,10 µ/L
CADMIUM,TOTAL,Cadmium (total),ALS,EPA 200.8,^,± 25%,Daily,Every 10,Every 10,0.03 µ/L,1 µ/L
COPPER,TOTAL,Copper (total),ALS,EPA 200.8,^,± 25%,Daily,Every 10,Every 10,0.04 µ/L,1 µ/L
LEAD,TOTAL,Lead (total),ALS,EPA 200.8,^,± 25%,Daily,Every 10,Every 10,0.19 µ/L,1 µ/L
NICKEL,TOTAL,Nickel (total),ALS,EPA 200.8,^,± 25%,Daily,Every 10,Every 10,0.04 µ/L,1 µ/L
ZINC,TOTAL,Zinc (total),ALS,EPA 200.8,^,± 25%,Daily,Every 10,Every 10,0.7 µ/L,10 µ/L
ALUMINUM,DISSOLVED,Aluminum (dissolved),ALS,EPA 200.8,^,± 25%,Daily,Every 10,Every 10,0.9 µ/L,10 µ/L
CADMIUM,DISSOLVED,Cadmium (dissolved),ALS,EPA 200.8,^,± 25%,Daily,Every 10,Every 10,0.02 µ/L,1 µ/L
COPPER,DISSOLVED,Copper (dissolved),ALS,EPA 200.8,^,± 25%,Daily,Every 10,Every 10,0.02 µ/L,1 µ/L
LEAD,DISSOLVED,Lead (dissolved),ALS,EPA 200.8,^,± 25%,Daily,Every 10,Every 10,0.02 µ/L,1 µ/L
NICKEL,DISSOLVED,Nickel (dissolved),ALS,EPA 200.8,^,± 25%,Daily,Every 10,Every 10,0.1 µ/L,1 µ/L
ZINC,DISSOLVED,Zinc (dissolved),ALS,EPA 200.8,^,± 25%,Daily,Every 10,Every 10,3 µ/L,5 µ/L
CHLOROPHYLL A,TOTAL,Chlorophyll A,ALS,SM 10200 H,^,N/A,Daily,Every 20,Every 10,NA,0.4 µ/L
