"","CHR_PCODE","CHR_SYS_SAMPLE_CDE","CHR_SAMPLE_DEL_GRP","CHR_SAMPLE_DEL_GRP_EQUIS","CHR_LAB_ANAL_METHOD_NAME","CHR_ANALYSIS_DATE","CHR_TEST_TYPE","CHR_LAB_MATRIX_CDE","CHR_DILUTION_FACTOR","CHR_PREP_METHOD","CHR_PREP_DATE","CHR_LAB_NAME_CDE","CHR_QC_LEVEL","CHR_LAB_SAMPLE_ID","CHR_SUBSAMPLE_AMT","CHR_SUBSAMPLE_AMT_UNIT","CHR_FINAL_VOLUME","CHR_FINAL_VOLUME_UNIT","CHR_CAS_RN","CHR_RESULT_VALUE","CHR_RESULT_TYPE_CDE","CHR_REPORTABLE_RESULT","CHR_DETECT_FLAG","CHR_QLFR_SRC","CHR_LAB_QUAL","CHR_VALIDATED_YN","CHR_VALIDATION_DATE","CHR_VALIDATOR_QUAL","CHR_VALIDATOR_QUAL_EXPLN","CHR_METHOD_DETECT_LIMIT","CHR_REPORTING_DETECT_LIMIT","CHR_QUANTITATION_LIMIT","CHR_DETECTION_LIMIT_UNIT","CHR_LAB_VALIDATION_LEVEL","CHR_RESULT_COMMENT","CHR_QC_ORIG_CONC","CHR_QC_SPIKE_ADDED","CHR_QC_SPIKE_MEASURED","CHR_QC_SPIKE_RECOVERY","CHR_QC_DUP_ORIG_CONC","CHR_QC_DUP_SPIKE_ADDED","CHR_QC_DUP_SPIKE_MEASURED","CHR_QC_DUP_SPIKE_RECOVERY","CHR_QC_RPD","CHR_QC_SPIKE_LCL","CHR_QC_SPIKE_UCL","CHR_QC_RPD_CL","CHR_QC_SPIKE_STATUS","CHR_QC_DUP_SPIKE_STATUS","CHR_QC_RPD_STATUS","CHS_EVENT_SMAS_HISTORY_ID","CHS_EVENT_SMAS_SAMPLE_DATE","CHS_SITE_ID_CORR_YN","CHS_DATA_PROVIDER","CHS_SAMPLE_NAME","CHS_SAMPLE_MATRIX_CDE","CHS_DEC_SAMPLE_TYPE_CDE","CHS_LAB_SAMPLE_TYPE_CDE","CHS_SAMPLE_SOURCE","CHS_PARENT_SAMPLE_CDE","CHS_SAMPLE_DEL_GRP_EQUIS","CHS_SAMPLE_DATETIME","CHS_SAMPLE_RECEIPT_DATE","CHS_SYS_LOC_CDE","CHS_CHAIN_OF_CUSTODY","CHS_SAMPLER","CHS_SAMPLING_COMPANY_CODE","CHS_COMMENT","CHEM_PARAMETER_PCODE","CHEM_PARAMETER_NAME","CHEM_PARAMETER_UNIT","CHEM_PARAMETER_UNIT_NOSP","CHEM_PARAMETER_FRACTION","CHEM_PARAMETER_SOURCE","CHEM_PARAMETER_NOTES"
"21031",12,"11-UHUD-42.5-10152018-WS","R1809992","","E200.8","10/29/2018 20:10:00","initial","WS",1,"E200.0","10/26/2018 00:00:00","ALSRNY","quant","R1809992-003",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.39,0.39,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","11-UHUD-42.5","10/15/2018","N","ALSRNY","11-UHUD-42.5-10152018-WS","WS","N","N","Field","","","10/15/2018 13:00:00","10/16/2018","Unknown","","","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21043",12,"09-ALDM-0.8-09112019-W","R1908762","","E200.8","09/24/2019 11:54:00","initial","WS",1,"E200.0","09/20/2019 00:00:00","ALSRNY","quant","R1908762-009",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.32,0.32,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-ALDM-0.8","09/11/2019","N","ALSRNY","09-ALDM-0.8-09112019-W","WS","N","N","Field","","","09/11/2019 13:45:00","09/12/2019","09-ALDM-0.8","","090919C04W","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21044",12,"10-BOQT-2.6-04172019-WS","R1903342","","E200.8","04/24/2019 15:59:00","initial","WS",1,"E200.0","04/23/2019 00:00:00","ALSRNY","quant","R1903342-013",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.32,0.32,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-BOQT-2.6","04/17/2019","N","ALSRNY","10-BOQT-2.6-04172019-WS","WS","N","N","Field","","","04/17/2019 11:00:00","04/20/2019","10-BOQT-2.6","","","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21053",12,"10-TWOB-3.6-07182018-WS","R1806798","","E200.8","07/30/2018 20:15:00","initial","WS",1,"E200.0","07/25/2018 00:00:00","ALSRNY","quant","R1806798-011",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.39,0.39,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-TWOB-3.6","07/18/2018","N","ALSRNY","10-TWOB-3.6-07182018-WS","WS","N","N","Field","","","07/18/2018 13:15:00","07/20/2018","unknown","","","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21095",12,"14-WDEL-16.2-08142018-WS","R1807698","","E200.8","08/23/2018 18:58:00","initial","WS",1,"E200.0","08/20/2018 00:00:00","ALSRNY","quant","R1807698-005",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.39,0.39,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-WDEL-16.2","08/14/2018","N","ALSRNY","14-WDEL-16.2-08142018-WS","WS","N","N","Field","","","08/14/2018 10:00:00","08/15/2018","Unknown","","","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21104",12,"09-SDH-2.7-09122019-W","R1908761","","E200.8","09/26/2019 12:10:00","initial","WS",1,"E200.0","09/18/2019 00:00:00","ALSRNY","quant","R1908761-016",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.32,0.32,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-SDSH-2.7","09/12/2019","N","ALSRNY","09-SDSH-2.7-09122019-W","WS","N","N","Field","","","09/12/2019 09:20:00","09/13/2019","09-SDSH-2.7","","090919C03W","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21116",12,"06-GENE-23.0-08082018-WS","R1807461","","E200.8","08/17/2018 21:14:00","initial","WS",1,"E200.0","08/16/2018 00:00:00","ALSRNY","quant","R1807461-012",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.39,0.39,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","06-GENE-23.0","08/08/2018","N","ALSRNY","06-GENE-23.0-08082018-WS","WS","N","N","Field","","","08/08/2018 10:30:00","08/09/2018","Unknown","","","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21121",12,"10-SABL-14.6-08142018-WS","R1807765","","E200.8","08/23/2018 19:36:00","initial","WS",1,"E200.0","08/22/2018 00:00:00","ALSRNY","quant","R1807765-005",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.39,0.39,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-SABL-14.6","08/14/2018","N","ALSRNY","10-SABL-14.6-08142018-WS","WS","N","N","Field","","","08/14/2018 10:00:00","08/15/2018","Unknown","","","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21136",12,"10-ALDE-0.7-07172018-WS","R1806798","","E200.8","07/30/2018 20:08:00","initial","WS",1,"E200.0","07/25/2018 00:00:00","ALSRNY","quant","R1806798-007",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.39,0.39,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-ALDE-0.7","07/17/2018","N","ALSRNY","10-ALDE-0.7-07172018-WS","WS","N","N","Field","","","07/17/2018 16:00:00","07/19/2018","unknown","","","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21198",12,"03-SALM-12.0-04172019-WS","R1903341","","E200.8","04/24/2019 12:52:00","initial","WS",1,"E200.0","04/23/2019 00:00:00","ALSRNY","quant","R1903341-005",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.32,0.32,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","03-SALM-12.0","04/17/2019","N","ALSRNY","03-SALM-12.0-04172019-WS","WS","N","N","Field","","","04/17/2019 12:00:00","04/18/2019","03-SALM-12.0","","","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21214",12,"08-BLCK-84.5-06122019-WS","R1905328","","E200.8","06/24/2019 11:27:00","initial","WS",1,"E200.0","06/18/2019 00:00:00","ALSRNY","quant","R1905328-007",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.32,0.32,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","08-BLCK-84.5","06/12/2019","N","ALSRNY","08-BLCK-84.5-06122019-WS","WS","N","N","Field","","","06/12/2019 09:00:00","06/13/2019","08-BLCK-84.5","","061019R6W","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21222",12,"10-WSBR-0.2-07192018-WS","R1806839","","E200.8","07/24/2018 15:09:00","initial","WS",1,"E200.0","07/23/2018 00:00:00","ALSRNY","quant","R1806839-004",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.39,0.39,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-WSBR-0.2","07/19/2018","N","ALSRNY","10-WSBR-0.2-07192018-WS","WS","N","N","Field","","","07/19/2018 12:00:00","07/20/2018","unknown","","","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21227",12,"09-WHIK-0.8-09112019-W","R1908759","","E200.8","09/20/2019 16:35:00","initial","WS",1,"E200.0","09/16/2019 00:00:00","ALSRNY","quant","R1908759-013",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.32,0.32,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-WHIK-0.8","09/11/2019","N","ALSRNY","09-WHIK-0.8-09112019-W","WS","N","N","Field","","","09/11/2019 10:50:00","09/12/2019","09-WHIK-0.8","","090919C01W","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21241",12,"09-GRAC-0.8-06252019-W","R1905962","","E200.8","07/08/2019 11:56:00","initial","WS",1,"E200.0","07/02/2019 00:00:00","ALSRNY","quant","R1905962-007",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.32,0.32,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-GRAC-0.8","06/25/2019","N","ALSRNY","09-GRAC-0.8-06252019-W","WS","N","N","Field","","","06/25/2019 12:35:00","06/26/2019","09-GRAC-0.8","","","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21264",12,"14-UNVR-0.2-08212019-W","R1907964","","E200.8","09/03/2019 14:37:00","initial","WS",1,"E200.0","08/30/2019 00:00:00","ALSRNY","quant","R1907964-013",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.32,0.32,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-UNVR_E-0.2","08/21/2019","Y","ALSRNY","14-UNVR-0.2-08212019-W","WS","N","N","Field","","","08/21/2019 09:45:00","08/22/2019","14-UNVR-0.2","","081919CO2W","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21278",12,"10-HALF-0.3-10032019-W","R1909697","","E200.8","10/18/2019 13:53:00","initial","WS",1,"E200.0","10/16/2019 00:00:00","ALSRNY","quant","R1909697-003",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.32,0.32,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-HALF-0.3","10/03/2019","N","ALSRNY","10-HALF-0.3","WS","N","N","Field","","","10/03/2019 10:00:00","10/04/2019","10-HALF-0.3","","100319C02W","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21298",12,"14-DELA-1.3-04192018-WS","R1803554","","E200.8","04/29/2018 19:04:00","initial","WS",1,"E200.0","04/26/2018 00:00:00","ALSRNY","quant","R1803554-007",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.39,0.39,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-DELA-1.3","04/19/2018","N","ALSRNY","14-DELA-1.3-04192018-WS","WS","N","N","Field","","","04/19/2018 10:30:00","04/20/2018","Unknown","","","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21299",12,"09-GTCH-17.7-04152019-WS","R1903324","","E200.8","04/24/2019 12:15:00","initial","WS",1,"E200.0","04/22/2019 00:00:00","ALSRNY","quant","R1903324-007",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.32,0.32,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-GTCH-17.7","04/15/2019","N","ALSRNY","09-GTCH-17.7-04152019-WS","WS","N","N","Field","","","04/15/2019 11:00:00","04/16/2019","09-GTCH-17.7","","","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21308",12,"14-CHOL-0.4-08222019-W","R1908141","","E200.8","09/04/2019 12:27:00","initial","WS",1,"E200.0","09/03/2019 00:00:00","ALSRNY","quant","R1908141-001",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.32,0.32,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-CHOL-0.4","08/22/2019","N","ALSRNY","14-CHOL-0.4-08222019-W","WS","N","N","Field","","","08/22/2019 08:15:00","08/23/2019","14-CHOL-0.4","","081919C02W","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21338",12,"10-ALDE_T-0.6-07182018-WS","R1806798","","E200.8","07/30/2018 20:11:00","initial","WS",1,"E200.0","07/25/2018 00:00:00","ALSRNY","quant","R1806798-009",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.39,0.39,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-ALDE_T15-0.6","07/18/2018","Y","ALSRNY","10-ALDE_T-0.6-07182018-WS","WS","N","N","Field","","","07/18/2018 11:00:00","07/20/2018","unknown","","","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21348",12,"10-LGEO_T62-0.2-07192018-WS","R1806839","","E200.8","07/24/2018 15:03:00","initial","WS",1,"E200.0","07/23/2018 00:00:00","ALSRNY","quant","R1806839-001",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.39,0.39,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-LGEO_T62-0.2","07/19/2018","N","ALSRNY","10-LGEO_T62-0.2-07192018-WS","WS","N","N","Field","","","07/19/2018 09:00:00","07/20/2018","unknown","","","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
"21362",12,"10-SABL-14.6-04182018-WS","R1803476","","E200.8","04/25/2018 16:25:00","initial","WS",1,"E200.0","04/24/2018 00:00:00","ALSRNY","quant","R1803476-007",10,"mL",10,"mL","7440-38-2",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.39,0.39,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-SABL-14.6","04/18/2018","N","ALSRNY","10-SABL-14.6-04182018-WS","WS","N","N","Field","","","04/18/2018 10:00:00","04/19/2018","Unknown","","","NYSDEC","",12,"ARSENIC","µg/L","ug/L","TOTAL","LAB",""
