"","assessment_id","seg_id","site_id","water_type","type","use","standard_type","group","block","statistic","parameter","fraction","units","result","date","year","within_period","direction","threshold","summarize_rows","summarize_rows_operator","wqs_75p_threshold","data_provider","attaining_wqs","attaining_75"
"TRUE.26",4,"0201-0065","02-DODG-0.3","flow","none","fishing","water_quality_standard","none.28","single","none","ph","total","ph_units",7.93,2021-07-01,"2021",TRUE,"<=",8.5,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.27",4,"0201-0065","02-DODG-0.1","flow","none","fishing","water_quality_standard","none.29","single","none","ph","total","ph_units",7.52,2021-07-01,"2021",TRUE,">=",6.5,TRUE,"&",7.4,NA,TRUE,TRUE
"TRUE.28",4,"0201-0065","02-DODG-0.1","flow","none","fishing","water_quality_standard","none.30","single","none","ph","total","ph_units",7.52,2021-07-01,"2021",TRUE,"<=",8.5,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.29",4,"0201-0065","02-DODG-0.1","flow","none","fishing","water_quality_standard","none.31","single","none","ph","total","ph_units",7.52,2021-07-01,"2021",TRUE,">=",6.5,TRUE,"&",7.4,NA,TRUE,TRUE
"TRUE.30",4,"0201-0065","02-DODG-0.1","flow","none","fishing","water_quality_standard","none.32","single","none","ph","total","ph_units",7.52,2021-07-01,"2021",TRUE,"<=",8.5,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.31",4,"0201-0065","02-DODG-0.1","flow","none","fishing","water_quality_standard","none.33","single","none","ph","total","ph_units",7.52,2021-07-01,"2021",TRUE,">=",6.5,TRUE,"&",7.4,NA,TRUE,TRUE
"TRUE.32",4,"0201-0065","02-DODG-0.1","flow","none","fishing","water_quality_standard","none.34","single","none","ph","total","ph_units",7.52,2021-07-01,"2021",TRUE,"<=",8.5,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.33",4,"0201-0065","02-DODG-0.1","flow","none","fishing","water_quality_standard","none.35","single","none","ph","total","ph_units",7.52,2021-07-01,"2021",TRUE,">=",6.5,TRUE,"&",7.4,NA,TRUE,TRUE
"TRUE.34",4,"0201-0065","02-DODG-0.1","flow","none","fishing","water_quality_standard","none.36","single","none","ph","total","ph_units",7.52,2021-07-01,"2021",TRUE,"<=",8.5,TRUE,"&",8,NA,TRUE,TRUE
"TRUE.35",1,"0201-0065","02-DODG-0.1","flow","aquatic_chronic","fishing","water_quality_standard","thresh_total_ammonia.1","single","none","ammonia","total","ug/l",72,2021-07-01,"2021",TRUE,"<=",1616.28913483994,FALSE,NA,NA,"AE",TRUE,NA
"TRUE.36",1,"0201-0065","02-DODG-0.3","flow","aquatic_chronic","fishing","water_quality_standard","thresh_total_ammonia.2","single","none","ammonia","total","ug/l",26,2021-07-01,"2021",TRUE,"<=",1118.67654244016,FALSE,NA,NA,"AE",TRUE,NA
