CHEM_PARAMETER_PCODE,CHEM_PARAMETER_NAME,CHEM_PARAMETER_UNIT,CHEM_PARAMETER_UNIT_NOSP,CHEM_PARAMETER_FRACTION,CHEM_PARAMETER_SOURCE,CHEM_PARAMETER_NOTES,stayCALM_parameter,stayCALM_units,stayCALM_fraction
74,MERCURY,ppt,ppt,TOTAL,LAB,,mercury,ppt,total
75,MERCURY,µg/L,ug/L,TOTAL,LAB,,mercury,ug/l,total
76,METHYLENE CHLORIDE,µg/L,ug/L,TOTAL,LAB,,,ug/l,total
77,MICROCYSTIN,µg/L,ug/L,NA,LAB,,,ug/l,na
78,MICROCYSTIN AR,µg/L,ug/L,NA,LAB,,,ug/l,na
79,MICROCYSTIN DLR,µg/L,ug/L,NA,LAB,,,ug/l,na
80,MICROCYSTIN DRR,µg/L,ug/L,NA,LAB,,,ug/l,na
81,MICROCYSTIN FR,µg/L,ug/L,NA,LAB,,,ug/l,na
82,MICROCYSTIN HYR,µg/L,ug/L,NA,LAB,,,ug/l,na
83,MICROCYSTIN LA,µg/L,ug/L,NA,LAB,,,ug/l,na
84,MICROCYSTIN LR,µg/L,ug/L,NA,LAB,,,ug/l,na
85,MICROCYSTIN LW,µg/L,ug/L,NA,LAB,,,ug/l,na
86,MICROCYSTIN LY,µg/L,ug/L,NA,LAB,,,ug/l,na
87,MICROCYSTIN MLR,µg/L,ug/L,NA,LAB,,,ug/l,na
88,MICROCYSTIN MRR,µg/L,ug/L,NA,LAB,,,ug/l,na
89,MICROCYSTIN RR,µg/L,ug/L,NA,LAB,,,ug/l,na
90,MICROCYSTIN UNKNOWN,µg/L,ug/L,NA,LAB,,,ug/l,na
91,MICROCYSTIN WR,µg/L,ug/L,NA,LAB,,,ug/l,na
92,MICROCYSTIN YR,µg/L,ug/L,NA,LAB,,,ug/l,na
93,MONOBROMOACETIC ACID,µg/L,ug/L,TOTAL,LAB,,,ug/l,total
94,MONOCHLOROACETIC ACID,µg/L,ug/L,TOTAL,LAB,,,ug/l,total
95,"M-XYLENE (1,3-DIMETHYLBENZENE)",mg/L,mg/L,TOTAL,LAB,,,mg/l,total
96,NICKEL,µg/L,ug/L,DISSOLVED,LAB,,nickel,ug/l,dissolved
97,NICKEL,µg/L,ug/L,TOTAL,LAB,,nickel,ug/l,total
98,"NITROGEN, AMMONIA (AS N)",mg/L,mg/L,TOTAL,LAB,,ammonia,mg/l,total
99,"NITROGEN, KJELDAHL, TOTAL",mg/L,mg/L,TOTAL,LAB,,,mg/l,total
100,"NITROGEN, NITRATE (AS N)",mg/L,mg/L,TOTAL,LAB,,nitrate,mg/l,total
101,"NITROGEN, NITRATE-NITRITE",mg/L,mg/L,TOTAL,LAB,,nitrate_nitrite,mg/l,total
102,"NITROGEN, NITRITE",mg/L,mg/L,TOTAL,LAB,,nitrite,mg/l,total
103,"NITROGEN, TOTAL",mg/L,mg/L,TOTAL,LAB,,,mg/l,total
104,"NITROGEN, TOTAL DISSOLVED",mg/L,mg/L,DISSOLVED,LAB,,,mg/l,dissolved
105,OXIDATION REDUCTION POTENTIAL (ORP),mV,mV,NA,IN-SITU,,,mv,na
106,"O-XYLENE (1,2-DIMETHYLBENZENE)",mg/L,mg/L,TOTAL,LAB,,,mg/l,total
107,P-BROMOFLUOROBENZENE,%,percent,TOTAL,LAB,DBP lab surrogate parameter (not flagged),,percent,total
108,P-BROMOFLUOROBENZENE,µg/L,ug/L,TOTAL,LAB,DBP lab surrogate parameter (not flagged),,ug/l,total
109,PH,pH units,pH units,NA,IN-SITU,,ph,ph units,na
110,PH,pH units,pH units,NA,LAB,,ph,ph units,na
111,PH,pH units,pH units,NA,UNDETERMINED,Records in DB with undetermined source.,ph,ph units,na
112,PH FOR COLOR ANALYSIS,pH units,pH units,NA,LAB,,,ph units,na
113,"PHENOLICS, TOTAL RECOVERABLE",mg/L,mg/L,TOTAL,LAB,,,mg/l,total
117,PHOSPHORUS (FRACTION UNKNOWN),mg/L,mg/L,NA,LAB,Created for unknown fractions in historic database.,,mg/l,na
118,"PHOSPHORUS, DISSOLVED",mg/L,mg/L,DISSOLVED,LAB,,,mg/l,dissolved
119,"PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (AS P)",mg/L,mg/L,DISSOLVED,LAB,,,mg/l,dissolved
120,"PHOSPHORUS, TOTAL",mg/L,mg/L,TOTAL,LAB,,phosphorus,mg/l,total
121,"PHOSPHORUS, TOTAL (AS P)",mg/L,mg/L,TOTAL,LAB,,phosphorus,mg/l,total
122,"PHOSPHORUS, TOTAL, MIXED FORMS",mg/L,mg/L,TOTAL,LAB,,,mg/l,total
123,"PHOSPHORUS, TOTAL, MIXED FORMS (FRACTION UNCONFIRMED)",mg/L,mg/L,NA,LAB,Created for unknown fractions in historic database.,,mg/l,na
124,PHYCOCYANIN,µg/L,ug/L,NA,IN-SITU,Measurements collected with Hydrolab.,,ug/l,na
125,PHYCOCYANIN (PROBE),RFU,RFU,NA,IN-SITU,Measurements collected with YSI Total Algae sensor.,,rfu,na
126,PHYCOCYANIN (PROBE),µg/L,ug/L,NA,IN-SITU,Measurements collected with YSI Total Algae sensor.,,ug/l,na
127,POTASSIUM,mg/L,mg/L,TOTAL,LAB,,,mg/l,total
128,POTASSIUM,µg/L,ug/L,TOTAL,LAB,,,ug/l,total
129,"P-XYLENE (1,4-DIMETHYLBENZENE)",mg/L,mg/L,TOTAL,LAB,,,mg/l,total
130,SILICA,mg/L,mg/L,TOTAL,LAB,,,mg/l,total
131,SILVER,µg/L,ug/L,DISSOLVED,LAB,,silver,ug/l,dissolved
132,SILVER,µg/L,ug/L,TOTAL,LAB,,silver,ug/l,total
133,SODIUM,mg/L,mg/L,TOTAL,LAB,,,mg/l,total
134,SODIUM,µg/L,ug/L,TOTAL,LAB,,,ug/l,total
135,SPECIFIC CONDUCTANCE,µmhos/cm,umhos/cm,NA,IN-SITU,,,umhos/cm,na
136,SPECIFIC CONDUCTANCE,µmhos/cm,umhos/cm,TOTAL,LAB,,,umhos/cm,total
137,SPECIFIC CONDUCTANCE,µmhos/cm,umhos/cm,NA,UNDETERMINED,Records in DB with undetermined source.,,umhos/cm,na
138,SPECIFIC CONDUCTANCE,uS/cm,uS/cm,NA,IN-SITU,,,us/cm,na
139,SPECIFIC CONDUCTANCE,uS/cm,uS/cm,TOTAL,LAB,,,us/cm,total
140,SPECIFIC CONDUCTANCE,uS/cm,uS/cm,NA,UNDETERMINED,Records in DB with undetermined source.,,us/cm,na
141,SULFATE (AS SO4),mg/L,mg/L,TOTAL,LAB,,sulfate,mg/l,total
142,TEMPERATURE,°C,deg C,NA,IN-SITU,,,deg c,na
143,TEMPERATURE,°C,deg C,TOTAL,LAB,,,deg c,total
144,TEMPERATURE,°C,deg C,NA,UNDETERMINED,Records in DB with undetermined source.,,deg c,na
145,TEMPERATURE OF PH ANALYSIS,°C,deg C,TOTAL,LAB,,,deg c,total
146,"TEMPERATURE, AIR",°C,deg C,NA,IN-SITU,,,deg c,na
147,"TEMPERATURE, HOLDING (LAB)",°C,deg C,NA,LAB,,,deg c,na
148,TETRACHLOROETHYLENE (PCE),µg/L,ug/L,TOTAL,LAB,,,ug/l,total
149,TOLUENE-D8,%,percent,TOTAL,LAB,DBP lab surrogate parameter (not flagged),,percent,total
150,TOLUENE-D8,µg/L,ug/L,TOTAL,LAB,DBP lab surrogate parameter (not flagged),,ug/l,total
151,TOTAL DISSOLVED SOLIDS,mg/L,mg/L,DISSOLVED,LAB,,total_dissolved_solids,mg/l,dissolved
152,TOTAL SOLIDS,mg/L,mg/L,TOTAL,LAB,,,mg/l,total
153,TOTAL SUSPENDED SOLIDS,mg/L,mg/L,TOTAL,LAB,,,mg/l,total
154,TOTAL VOLATILE SOLIDS,mg/L,mg/L,TOTAL,LAB,,,mg/l,total
155,TRICHLOROACETIC ACID,µg/L,ug/L,TOTAL,LAB,,,ug/l,total
156,TRICHLOROETHYLENE (TCE),µg/L,ug/L,TOTAL,LAB,,,ug/l,total
157,TRUE COLOR,color units,color units,TOTAL,LAB,,,color units,total
158,TURBIDITY,FNU,FNU,NA,IN-SITU,,,fnu,na
159,TURBIDITY,FNU,FNU,TOTAL,LAB,,,fnu,total
160,TURBIDITY,NTU,NTU,NA,IN-SITU,,,ntu,na
161,TURBIDITY,NTU,NTU,NA,UNDETERMINED,Records in DB with undetermined source.,,ntu,na
162,TURBIDITY,NTU,NTU,TOTAL,LAB,,,ntu,total
163,UV 254,1/cm,1/cm,TOTAL,LAB,,,1/cm,total
164,VINYL CHLORIDE,µg/L,ug/L,TOTAL,LAB,,,ug/l,total
165,ZINC,µg/L,ug/L,DISSOLVED,LAB,,zinc,ug/l,dissolved
166,ZINC,µg/L,ug/L,TOTAL,LAB,,zinc,ug/l,total
167,"POLYCHLORINATED BIPHENYLS (PCBS), TOTAL",pg/L,pg/L,TOTAL,LAB,,,pg/l,total
168,"POLYCHLORINATED BIPHENYLS (PCBS), VARIOUS",pg/L,pg/L,TOTAL,LAB,Contains all non-total PCB results (concentration). Refer to CHR_CHEMICAL_NAME in CHEM_HISTORY_RESULT table for specific congener/arachlor.,,pg/l,total
169,"POLYCHLORINATED BIPHENYLS (PCBS), VARIOUS (PERCENT)",%,percent,TOTAL,LAB,Contains all non-total PCB results (percent).,,percent,total
170,SALINITY,ppt,ppt,NA,IN-SITU,,,ppt,na
